"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.07.2019","27.191,5","27.230,0","27.250,5","27.042,5","-","-0,02%"
"29.07.2019","27.198,0","27.143,0","27.255,0","27.112,0","111,35K","0,18%"
"26.07.2019","27.149,0","27.084,0","27.193,0","27.077,0","120,61K","0,20%"
"25.07.2019","27.096,0","27.250,0","27.349,0","27.040,0","196,82K","-0,52%"
"24.07.2019","27.237,0","27.306,0","27.346,0","27.175,0","155,97K","-0,32%"
"23.07.2019","27.324,0","27.174,0","27.358,0","27.159,0","137,72K","0,54%"
"22.07.2019","27.176,0","27.106,0","27.216,0","27.078,0","144,41K","0,17%"
"19.07.2019","27.130,0","27.305,0","27.342,0","27.071,0","194,39K","-0,26%"
"18.07.2019","27.201,0","27.164,0","27.304,0","27.057,0","190,64K","-0,11%"
"17.07.2019","27.231,0","27.318,0","27.377,0","27.184,0","135,79K","-0,35%"
"16.07.2019","27.328,0","27.346,0","27.396,0","27.280,0","134,70K","-0,05%"
"15.07.2019","27.342,0","27.303,0","27.397,0","27.263,0","129,82K","0,12%"
"12.07.2019","27.309,0","27.072,0","27.330,0","27.070,0","146,91K","0,86%"
"11.07.2019","27.077,0","26.859,0","27.092,0","26.851,0","184,87K","0,81%"
"10.07.2019","26.860,0","26.782,0","26.983,0","26.688,0","209,43K","0,30%"
"09.07.2019","26.779,0","26.794,0","26.807,0","26.657,0","150,79K","-0,05%"
"08.07.2019","26.793,0","26.890,0","26.924,0","26.742,0","147,10K","-0,34%"
"05.07.2019","26.885,0","26.973,0","27.009,0","26.728,0","199,74K","-0,39%"
"04.07.2019","26.989,5","26.962,5","26.998,0","26.939,5","-","0,07%"
"03.07.2019","26.970,0","26.798,0","26.982,0","26.750,0","119,17K","0,65%"
"02.07.2019","26.797,0","26.695,0","26.805,0","26.621,0","163,50K","0,36%"
"01.07.2019","26.700,0","26.816,0","26.896,0","26.609,0","202,63K","0,40%"
"28.06.2019","26.593,0","26.563,0","26.672,0","26.521,0","161,24K","0,18%"
"27.06.2019","26.546,0","26.521,0","26.665,0","26.445,0","172,21K","-0,02%"
"26.06.2019","26.550,0","26.567,0","26.703,0","26.509,0","180,31K","-0,05%"
"25.06.2019","26.562,0","26.758,0","26.827,0","26.539,0","216,58K","-0,75%"
"24.06.2019","26.762,0","26.674,0","26.815,0","26.662,0","136,48K","0,06%"
"21.06.2019","26.745,6","26.761,0","26.783,0","26.680,0","2,43K","-0,07%"
"20.06.2019","26.763,0","26.520,0","26.804,0","26.510,0","34,55K","0,88%"
"19.06.2019","26.529,0","26.473,0","26.585,0","26.422,0","55,74K","0,13%"
"18.06.2019","26.495,0","26.150,0","26.542,0","26.070,0","84,77K","1,39%"
"17.06.2019","26.131,0","26.117,0","26.212,0","26.058,0","69,03K","0,03%"
"14.06.2019","26.123,0","26.129,0","26.177,0","26.003,0","114,68K","0,02%"
"13.06.2019","26.117,0","26.020,0","26.153,0","25.891,0","175,89K","0,40%"
"12.06.2019","26.012,0","26.064,0","26.098,0","25.961,0","153,26K","-0,20%"
"11.06.2019","26.065,0","26.100,0","26.261,0","26.009,0","181,05K","-0,08%"
"10.06.2019","26.086,0","26.150,0","26.289,0","26.048,0","183,86K","0,30%"
"07.06.2019","26.007,0","25.701,0","26.085,0","25.683,0","202,19K","1,02%"
"06.06.2019","25.745,0","25.530,0","25.807,0","25.437,0","202,03K","0,73%"
"05.06.2019","25.558,0","25.349,0","25.573,0","25.344,0","219,21K","0,84%"
"04.06.2019","25.346,0","24.917,0","25.364,0","24.825,0","251,90K","1,92%"
"03.06.2019","24.869,0","24.743,0","24.938,0","24.610,0","322,94K","0,20%"
"31.05.2019","24.820,0","25.178,0","25.191,0","24.789,0","276,43K","-1,47%"
"30.05.2019","25.190,0","25.106,0","25.218,0","25.057,0","202,30K","0,32%"
"29.05.2019","25.109,0","25.355,0","25.377,0","24.937,0","300,81K","-1,02%"
"28.05.2019","25.369,0","25.609,0","25.717,0","25.330,0","262,85K","-1,11%"
"27.05.2019","25.653,0","25.624,5","25.694,5","25.590,5","-","0,11%"
"26.05.2019","25.625,5","25.611,5","25.658,0","25.599,5","-","0,02%"
"24.05.2019","25.620,0","25.494,0","25.664,0","25.457,0","201,02K","0,62%"
"23.05.2019","25.463,0","25.779,0","25.779,0","25.320,0","300,18K","-1,20%"
"22.05.2019","25.771,0","25.860,0","25.904,0","25.733,0","196,58K","-0,40%"
"21.05.2019","25.875,0","25.719,0","25.895,0","25.711,0","208,63K","0,70%"
"20.05.2019","25.696,0","25.776,0","25.901,0","25.554,0","246,48K","-0,33%"
