"Data","Último","Abertura","Máxima","Mínima","Var%"
"16.06.2019","9,4838","9,4918","9,4962","9,4816","-0,03%"
"14.06.2019","9,4870","9,4836","9,5007","9,4220","0,04%"
"13.06.2019","9,4829","9,4757","9,4962","9,4620","0,08%"
"12.06.2019","9,4750","9,4506","9,4782","9,4181","0,25%"
"11.06.2019","9,4511","9,4166","9,4554","9,4040","0,35%"
"10.06.2019","9,4184","9,4107","9,4397","9,3953","0,11%"
"09.06.2019","9,4085","9,3961","9,4175","9,3958","0,11%"
"07.06.2019","9,3982","9,4204","9,4683","9,3715","-0,22%"
"06.06.2019","9,4186","9,4459","9,4570","9,3951","-0,29%"
"05.06.2019","9,4459","9,4395","9,4509","9,3973","0,10%"
"04.06.2019","9,4367","9,4444","9,4691","9,4188","-0,08%"
"03.06.2019","9,4444","9,4936","9,5101","9,4345","-0,45%"
"02.06.2019","9,4871","9,4936","9,5018","9,4864","-0,10%"
"31.05.2019","9,4965","9,5382","9,5677","9,4817","-0,42%"
"30.05.2019","9,5364","9,5518","9,5647","9,5247","-0,15%"
"29.05.2019","9,5509","9,5969","9,6159","9,5467","-0,48%"
"28.05.2019","9,5973","9,5807","9,5986","9,5384","0,17%"
"27.05.2019","9,5807","9,5472","9,5911","9,5299","0,48%"
"26.05.2019","9,5351","9,5459","9,5494","9,5319","-0,06%"
"24.05.2019","9,5407","9,6162","9,6247","9,5314","-0,79%"
"23.05.2019","9,6163","9,6312","9,6784","9,6080","-0,15%"
"22.05.2019","9,6312","9,6532","9,6703","9,6258","-0,20%"
"21.05.2019","9,6506","9,6653","9,6927","9,6420","-0,14%"
"20.05.2019","9,6642","9,6528","9,6722","9,6285","0,24%"
"19.05.2019","9,6410","9,6433","9,6528","9,6328","-0,02%"
"17.05.2019","9,6430","9,6391","9,6551","9,6165","0,05%"
"16.05.2019","9,6385","9,6027","9,6485","9,5767","0,39%"
"15.05.2019","9,6006","9,6037","9,6398","9,5752","-0,03%"
"14.05.2019","9,6037","9,6407","9,6463","9,5843","-0,37%"
"13.05.2019","9,6391","9,6248","9,6674","9,6035","0,21%"
"12.05.2019","9,6192","9,6112","9,6249","9,6112","0,07%"
"10.05.2019","9,6128","9,6534","9,6609","9,6026","-0,40%"
"09.05.2019","9,6513","9,6196","9,6647","9,6043","0,33%"
"08.05.2019","9,6196","9,5944","9,6210","9,5574","0,27%"
"07.05.2019","9,5937","9,5627","9,6132","9,5415","0,32%"
"06.05.2019","9,5627","9,5798","9,6062","9,5521","-0,08%"
"05.05.2019","9,5707","9,5737","9,5847","9,5565","0,32%"
"03.05.2019","9,5405","9,5784","9,6145","9,5334","-0,40%"
"02.05.2019","9,5784","9,5428","9,5798","9,5115","0,38%"
"01.05.2019","9,5422","9,4904","9,5443","9,4677","0,51%"
"30.04.2019","9,4940","9,5139","9,5289","9,4731","-0,18%"
"29.04.2019","9,5114","9,4957","9,5294","9,4943","-0,04%"
"28.04.2019","9,5148","9,5163","9,5163","9,4957","0,01%"
"26.04.2019","9,5137","9,5399","9,5467","9,4680","-0,27%"
