Data,Var%_x,Média_x,Var%_y,Média_y,Var%_x,Média_x,Var%_y,Média_y,Var%_x,Média_x,Var%_y,Média_y,Var%_x,Média_x,Var%_y,Média_y,Var%,Média
14/06/2019,-0.14,2.890875,0.02,26.108,0.59,97276.25,-0.6,11246.0,-0.65,12633.0,-0.42,7.4777975,0.52,9963.0,0.16,10842.25,0.04,94733.25
13/06/2019,0.47,2.8850625,0.4,26.045249999999996,0.03,96968.5,-0.11,11284.25,-0.12,12684.5,0.51,7.5073799999999995,-0.18,9943.25,-0.1,10840.75,0.08,94792.0
12/06/2019,-0.21,2.883625,-0.2,26.03375,0.34,96793.75,-0.38,11310.5,-0.28,12714.0,-0.55,7.48314,0.32,9935.75,-0.02,10845.5,0.25,94554.75
11/06/2019,-0.08,2.8920000000000003,-0.08,26.10875,-0.07,96702.5,0.15,11321.75,0.3,12703.25,0.16,7.54604,0.26,9912.75,0.07,10853.5,0.35,94317.75
10/06/2019,0.5,2.8921875,0.3,26.143250000000002,0.23,96690.25,-0.16,11315.75,-0.29,12705.0,1.14,7.503922500000001,-0.03,9892.5,-0.01,10851.25,0.11,94160.25
07/06/2019,1.03,2.8598125000000003,1.02,25.869,-0.52,96747.5,0.51,11302.25,0.28,12722.5,1.94,7.371905,-0.35,9900.25,-0.21,10828.0,-0.22,94146.0
06/06/2019,0.64,2.8329999999999997,0.73,25.62975,-0.26,97093.0,0.49,11257.25,0.11,12698.75,0.76,7.2501500000000005,-0.35,9925.25,-0.05,10837.5,-0.29,94291.5
05/06/2019,0.81,2.8161875,0.84,25.455999999999996,0.26,97066.5,-0.28,11249.75,-0.09,12701.75,0.76,7.2083425000000005,0.27,9918.5,0.31,10823.0,0.1,94334.0
04/06/2019,2.02,2.7773125,1.92,25.113000000000003,-0.06,97077.25,0.1,11249.25,0.26,12680.25,2.7,7.103955,-0.05,9926.5,0.06,10810.25,-0.08,94422.5
03/06/2019,-0.11,2.7457499999999997,0.2,24.79,-0.62,97373.75,0.64,11206.75,0.21,12644.25,-2.1,7.037867499999999,-0.71,9966.0,-0.13,10820.0,-0.45,94706.5
31/05/2019,-1.36,2.7705625,-1.47,24.994500000000002,-0.39,97866.5,0.34,11152.25,0.19,12611.0,-1.62,7.1464675,-0.67,10042.5,-1.21,10895.5,-0.42,95210.25
30/05/2019,0.38,2.786375,0.32,25.142750000000003,0.02,98072.0,0.0,11130.0,-0.16,12614.0,0.4,7.236855,0.01,10081.25,0.02,10965.75,-0.15,95444.0
29/05/2019,-0.89,2.789125,-1.02,25.194499999999998,0.2,97920.0,-0.26,11148.0,-0.2,12641.75,-0.85,7.21757,0.0,10072.25,0.19,10945.25,-0.48,95776.0
28/05/2019,-1.0,2.8194375,-1.11,25.506249999999998,0.37,97720.5,-0.35,11179.5,-0.2,12671.0,-0.31,7.309159999999999,0.39,10062.0,-0.13,10943.5,0.17,95787.5
24/05/2019,0.43,2.8286875,0.62,25.558750000000003,-0.25,97595.5,0.21,11194.25,0.45,12687.0,-0.1,7.3300825,-0.15,10025.5,-0.27,10948.75,-0.79,95782.5
23/05/2019,-1.33,2.835375,-1.2,25.585250000000002,-0.16,97899.5,0.24,11155.75,-0.05,12652.25,-1.52,7.3096325,-0.63,10063.5,-0.68,10995.5,-0.15,96334.75
